"nota","genotipo"
5,"1EEB88/ZTU7026ZL.2"
4,"1FEB12/UBTTD400"
4,"1FEB12/ZTU7013"
5,"1FEB83/UBTTD400"
2,"1FEB83/UBTTD490"
2,"1FEB83/UBTTE410"
6,"1FEB83/UBTUD529"
2,"1FEB83/WYY8370"
3.5,"1FEB83/ZTU7013"
7,"1FTB72/UBTTD400"
6,"1FTB72/ZTU7013"
4,"1FTB73/UBTTD400"
3,"1FTB73/UBTTE410"
3,"1FTB73/ZTU7013"
3,"1GEB46/UBTTD400"
4,"1GEB46/ZTU7013"
3,"1PEB88/1ZRB84ZS.0"
5,"1PEB88/PETTF126ZL.2"
7,"1PEB88/UBTTD400"
6,"1PEB88/UBTTD490"
6.5,"1PEB88/UBTTG228ZL.0"
4.5,"1PEB88/UBTUE177ZL.2"
5,"1PEB88/UBTXF238ZL.0"
4,"1PEB88/WYY8370"
5.5,"1PEB88/ZTU7026ZL.2"
2,"1SHB73/2FEB29"
2,"1SHB73/4DEB01"
5,"1SHB73/UBTTD400"
3,"1SHB73/UBTTD490"
5,"1SHB73/UBTUD529"
2,"1SHB73/WYY8370"
5,"1SHB73/ZTU7013"
7,"1UEB29/UBTTD400"
3,"1UEB29/UBTUD529"
5,"1UEB29/ZTU7013"
2,"1YHB35/4DEB01"
5,"1YHB35/8DTB18"
5.5,"1YHB35/B6T7T943ZS.2"
3,"1YHB35/B7T7T812ZS.4"
4,"1YHB35/PETTF126ZL.2"
5,"1YHB35/UBTTD400"
3,"1YHB35/UBTTD490"
3,"1YHB35/UBTUD529"
4,"1YHB35/ZTU7026ZL.2"
5,"1YRB15/UBTTD490"
3,"1YRB15/UBTUD529"
5.5,"1YRB15ZS.0/UBTTD400"
2,"1YRB30/4DEB01"
5,"1YRB30/UBTTD400"
5,"1YRB30/UBTTD490"
4.5,"1YRB30/UBTUD529"
4,"1YRB30/ZTU7013"
2,"1YRB77ZS.0/WYY8370"
2,"1ZDB84/4DEB01"
4,"1ZDB84/B6T7T943ZS.2"
5.66666666666667,"1ZDB84/B7T7T812ZS.4"
2,"1ZDB84/WYY8370"
2.5,"1ZRB84ZS.0/DBJKK3166"
2.5,"1ZRB84ZS.0/DBJKK3175"
3,"2AHB11/UBTTD400"
3,"2AHB11/WTP6741ZL.2"
5,"2AHB11/ZTU7013"
2,"2AHB11/ZTU7026ZL.2"
2,"2AHB26ZS.0/1EEB17"
3,"2AHB26ZS.0/9DRB50"
3,"2AHB26ZS.0/ATTSS0018"
3,"2AHB26ZS.0/BBJKX1003"
4,"2AHB26ZS.0/CTI354"
5,"2AHB26ZS.0/CTJ23"
7,"2AHB26ZS.0/D1352"
2.5,"2AHB26ZS.0/DBJKK3166"
2.5,"2AHB26ZS.0/DBJKK3175"
2,"2AHB26ZS.0/DJJTT0859"
3,"2AHB26ZS.0/F1402"
3,"2AHB26ZS.0/PEFXD266"
2,"2AHB26ZS.0/PEUTE046"
5,"2AHB26ZS.0/SHJ07"
3,"2AHB26ZS.0/STT03"
4,"2AHB26ZS.0/TCJ26"
2,"2AHB26ZS.0/TST29"
3,"2AHB26ZS.0/TTI87"
2,"2AHB26ZS.0/UBTTE410"
4,"2AHB26ZS.0/XJH51"
4,"2AHB26ZS.0/ZTU7013"
3.5,"2AHB60/B7T1C128ZS.1"
2,"2AHB60/B7Y6Y842ZL.1"
3,"2AHB60/PETTF126ZL.2"
3,"2AHB60/UBTTG228ZL.0"
3,"2AHB60/UBTUE177ZL.2"
2,"2AHB60/UBTXF238ZL.0"
3,"2AHB60/WTP6741ZL.2"
2,"2AHB60/WYY8370"
3,"2BHB00ZS.0/CBJKW5072"
2,"2BHB01/ZTU7026ZL.2"
4,"2DEB00/UBTTD400"
3.5,"2DEB00/UBTTD490"
3,"2DEB00/UBTUD529"
