PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YGA_MM,,UR271681784,1,43,15,17,43,SZD5211ZL.0,SZD5211ZL.0,SZD5211ZL.0,,22WNBPEYG6J1,,1,5,,,6,,,,,,,,,,,1,,,SZD5211ZL.0,57,,,,,,,,,,,,1,,,136,255,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG8Z2BT14,BT14,8Z2,21ALL112XU2_MM,,UR271561978,2,13,5,17,13,SXE3279ZL.0,SXE3279ZL.0,SXE3279ZL.0,,22WNBPEYG8Z2,,,5,,,7,,,,,,,,,,,2,,,SXE3279ZL.0,58,,,,,,,,,,,,9,,,127,248,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFB_MM,,UR271681764,2,63,19,17,63,SXC2251ZL.0,SXC2251ZL.0,SXC2251ZL.0,,22WNBPEYG6J1,,1,5,,,4,,,,,,,,,,,1,,,SXC2251ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFX_MM,,UR271681715,2,112,29,9,112,SYC7161ZL.0,SYC7161ZL.0,SYC7161ZL.0,,22WNBPEYG6J1,,1,5,,,4,,,,,,,,,,,1,,,SYC7161ZL.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YEP_MM,,UR271681656,3,171,41,1,171,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6J1,,2,5,,,7,,,,,,,,,,,1,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112XX5_MM,,UR271683292,2,74,21,24,930,B2801PWU,B2801PWU,B2801PWU,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,B2801PWU,,,,,,,,,,,,,9,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112XWV_MM,,UR271683303,2,63,18,17,918,AS1820PRO3,AS1820PRO3,AS1820PRO3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,AS1820PRO3,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112XXK_MM,,UR271683245,3,121,33,32,979,MG580PWU,MG580PWU,MG580PWU,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,MG580PWU,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112YF3_MM,,UR271683226,3,140,37,8,992,SX8394ZS.0,NS73VIP3,NS73VIP3,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,SX8394ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT08 Nova Rosalandia,22WNBPEYG6J1BT08,BT08,6J1,21ALL112XX2_MM,,UR271683202,3,164,43,8,1016,B2612PWU,B2612PWU,B2612PWU,,22WNBPEYG6J1,,,5,,,,,,,,,,,,,,,,,B2612PWU,,,,,,,,,,,,,1,,,,,,,,,10,-48.89791,-10.57572,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFX_MM,,UR271681808,1,19,10,16,19,SYC7161ZL.0,SYC7161ZL.0,SYC7161ZL.0,,22WNBPEYG6J1,,2,5,,,4,,,,,,,,,,,1,,,SYC7161ZL.0,61,,,,,,,,,,,,1,,,129,244,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112XXH_MM,,UR271681821,1,6,8,40,6,30A37PWU,30A37PWU,30A37PWU,,22WNBPEYG6J1,,3,5,,,3,,,,,,,,,,,1,,,30A37PWU,55,,,,,,,,,,,,1,,,115,205,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YFG_MM,,UR271681760,2,67,20,32,67,SXD218ZS.0,NS80VIP3,NS80VIP3,,22WNBPEYG6J1,,2,5,,,4,,,,,,,,,,,1,,,SXD218ZS.0,,,,,,,,,,,,,1,,,,,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YEP_MM,,UR271681823,1,4,7,25,4,NK455VIP3,NK455VIP3,NK455VIP3,,22WNBPEYG6J1,,2,5,,,7,,,,,,,,,,,2,,,SX6665ZS.0,60,,,,,,,,,,,,1,,,139,287,,,,,10,-48.15128,-10.01226,
BRTR BT14 Ap. do Rio Negro ll,22WNBPEYG6J1BT14,BT14,6J1,21ALL112YF4_MM,,UR271681809,1,18,10,24,18,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,2,5,,,3,,,,,,,,,,,1,,,SX8934ZS.0,60,,,,,,,,,,,,9,,,139,270,,,,,10,-48.15128,-10.01226,
