PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,BreedingStage,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,T,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
BRTR BL18,22WNMTYG457BL18,PLC4,BL18,457,4,21ALL112YEM_MM,,UR272495880,1,1162,54,12,324,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNMTYG457,,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL10,22WNMTYG457BL10,PLC4,BL10,457,4,21ALL112YEM_MM,,UR272493714,1,1162,52,69,162,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNMTYG457,,4.0,,,,,,1,,,,,,,,,,,,,FORMULAWT.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112YEP_MM,,UR272562518,1,1162,25,24,162,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21ALL112YEP_MM,,UR272563367,1,1162,25,24,162,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SX6665ZS.0,24,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21ALL112YEP_MM,,UR272565350,1,1162,18,5,162,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,4.0000,1.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YEP_MM,,UR272564522,1,1162,25,24,162,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,6.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL28,22WNMTYG457BL28,PLC4,BL28,457,4,21ALL112YEM_MM,,UR272504331,1,1162,54,12,162,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNMTYG457,,,,,,,,,,,,,,,,,,,,,FORMULAWT.0,20,,,,,,,,,,,,5,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL01,22WNMTYG457BL01,PLC4,BL01,457,4,21ALL112YEM_MM,,UR272502018,1,1162,54,12,162,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNMTYG457,,4.0,,,,,,,,,,,,,,,,,,,FORMULAWT.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,21ALL112YEP_MM,,UR272563193,1,1162,25,24,162,NK455VIP3,NK455VIP3,NK455VIP3,,22WNMTYGLVG,,3.0,,,,,,,,,,,,,,,,,,,SX6665ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112XXN_MM,,UR272564521,1,1163,25,20,163,MG711PWU,MG711PWU,MG711PWU,,22WNMTYGLVG,,5.0,,,,,,,,,,,,,,,,,,,MG711PWU,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112XXN_MM,,UR272562517,1,1163,25,20,163,MG711PWU,MG711PWU,MG711PWU,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,MG711PWU,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21ALL112XXN_MM,,UR272563366,1,1163,25,20,163,MG711PWU,MG711PWU,MG711PWU,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,MG711PWU,23,,,,,,,,,,,,1,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21ALL112XXN_MM,,UR272565349,1,1163,18,9,163,MG711PWU,MG711PWU,MG711PWU,,22WNMTYGLVG,,4.0,,,,,,,,,,,,,,,,,,,MG711PWU,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
BRTR BL01,22WNMTYGLVGBL01,PLC4,BL01,LVG,L,21ALL112XXN_MM,,UR272563192,1,1163,25,20,163,MG711PWU,MG711PWU,MG711PWU,,22WNMTYGLVG,,4.0,,,,,,,,,,,,,,,,,,,MG711PWU,,,,,,,,,,,,,1,,,,,,,,,9,-55.50362000,-11.69889000,
BRTR BL18,22WNMTYGLVGBL18,PLC4,BL18,LVG,L,21ALL112YG7_MM,,UR272562516,1,1164,25,16,164,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SZ6995ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-58.51884000,-13.59584000,
BRTR BL28,22WNMTYGLVGBL28,PLC4,BL28,LVG,L,21ALL112YG7_MM,,UR272563365,1,1164,25,16,164,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNMTYGLVG,,,,,,,,,,,,,,,,,,,,,SZ6995ZS.0,23,,,,,,,,,,,,5,,,,,,,,,9,-55.17203000,-15.33561000,
BRTR BL10,22WNMTYGLVGBL10,PLC4,BL10,LVG,L,21ALL112YG7_MM,,UR272564520,1,1164,25,16,164,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNMTYGLVG,,5.0,,,,,,,,,,,,,,,,,,,SZ6995ZS.0,,,,,,,,,,,,,1,,,,,,,,,9,-55.94174000,-12.98987000,
BRTR BL12,22WNMTYGLVGBL12,PLC4,BL12,LVG,L,21ALL112YG7_MM,,UR272565348,1,1164,18,13,164,SZ6995ZS.0,NS45VIP3,NS45VIP3,,22WNMTYGLVG,3.0000,4.0,,,,,,,,,,,,,,,,,,,SZ6995ZS.0,,,,,,,,,,,,,,,,,,,,,,9,-56.14570000,-13.31910000,
