#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK
,BRTR BC31 Astorga-PR,22WNACYGM4EBC31,BC31,M4E,22AC654086,,UR272446842,1,1102,42,109,102,2DEB35/LOTTC106ZL.0;LOTTC106ZL.1;LOTTC106ZL.2,AC22003958,,,22WNACYGM4E,,,,,,,,,,,,,,,,,,2.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYG501BC33,BC33,501,21ALL11288L_MM,,UR271230728,1,1102,31,13,102,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,,,,,,,,,,,,6.0000,,,SX5885ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGO4EBC33,BC33,O4E,22AC654115,,UR272438652,1,1102,86,53,102,ACTTF491ZL.0/WYFA804,AC22003987,,,22WNACYGO4E,,,,,,,,,,,,,,,,,,3.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNJDYGVTSBC33,BC33,VTS,21ALL11288L_MM,,UR272463740,1,1102,82,93,102,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNJDYGVTS,,,,,,,,,,,,,,,,,,,,,SX5885ZS.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC33 Itaporã-MS,22WNACYGX4CBC33,BC33,X4C,20ALL112NDE_MM,,UR272453895,1,1103,37,96,103,FORMULAWT.0,FORMULAVIP2,FORMULAVIP2,,22WNACYGX4C,,,,,,,,,,,,,,,,,,8.0000,,,FORMULAWT.0,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGX4ABC31,BC31,X4A,22AC650269,,UR272429973,1,1103,22,200,103,B7T1C128ZS.1/B6T7T943ZS.2/1YHB35,AC22000269,,,22WNACYGX4A,,,,,,,,,,,,,,,,,,2.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC14 Ubirata-PR,22WNACYG501BC14,BC14,501,21ALL11288L_MM,,UR271229895,1,1103,5,384,103,SX5885ZS.0,NK488VIP3,NK488VIP3,,22WNACYG501,,,,,,,2,2,,,,,,,,,,6.0000,,,SX5885ZS.0,49,,,,,,,,,,,,1,,,115,225,,,,,12,-53.01481000,-24.46203000,
,BRTR BC31 Astorga-PR,22WNACYGO4EBC31,BC31,O4E,21ALL112YEX_MM,,UR272461863,1,1103,87,96,103,SX6003ZS.0,NK422VIP3,NK422VIP3,,22WNACYGO4E,,,,,,,,,,,,,,,,,,,,,SX6003ZS.0,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
,BRTR BC33 Itaporã-MS,22WNACYGM4HBC33,BC33,M4H,22AC651155,,UR272425731,1,1103,97,40,103,LOTTE951/8CEB55,AC22001155,,,22WNACYGM4H,,,,,,,,,,,,,,,,,,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,12,-54.72374000,-22.03341000,
,BRTR BC31 Astorga-PR,22WNACYGM4ABC31,BC31,M4A,22AC650397,,UR272432433,1,1103,9,96,103,WTP6400ZL.0;WTP6400ZL.1;WTP6400ZL.3/1YHB35,AC22000397,,,22WNACYGM4A,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1,,,,,,,,,12,-51.68371000,-23.25147000,
