#,PSS:EXT:LOC:LOCNM,PSS:EXT:EXTID,PSS:EXT:LOC:LOCCD,PSS:EXT:EXTNO,PSS:EEXT:MAT:MATID,PSS:PLOT:BARCD,PSS:BARCD,PSS:REPNO,PSS:PLTID,PSS:STRNG,PSS:STROW,PSS:MSEQNO,PSS:EEXT:MAT:ABBRC,PSS:EEXT:MAT:HGHNM,PSS:EEXT:MAT:VH:VHNM,PSS:EEXT:MAT:GHTV,PSS:EXT:EXP:EXTID,PSS:DLLFR,PSS:SCLBR,PSS:GRLSR,PSS:SRSTR,PSS:ANLBR,PSS:CRSTR,PSS:HELMR,PSS:LFSPR,PSS:STRIP,PSS:STRSR,PSS:EARTR,PSS:HEL1R,PSS:HEL2R,PSS:HEL3R,PSS:FEARN,PSS:FLISP,PSS:VIRUR,PSS:COSTR,PSS:PRMDN,PSS:PRMDP,PSS:EEXT:MAT:VH:VHNO,PSS:STD_N,PSS:BRRNN,PSS:YGSMN,PSS:YGMRN,PSS:rGWTPN,PSS:TWHMN,PSS:BRRNP,PSS:GWTPN,PSS:GMSTP,PSS:YGHMN,PSS:rGMSTP,PSS:TWSMN,PSS:PLTQR,PSS:tGWTPN,PSS:tGMSTP,PSS:ERHTN,PSS:PLHTN,PSS:SLK5N,PSS:POL5D,PSS:SLK5D,PSS:POL5N,PSS:EXT:LOC:GEODV,PSS:EXT:LOC:LONG,PSS:EXT:LOC:LAT,PSS:EXT:EXP:REMRK,PSS:VSCIN
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFP_MM,,UR271682398,2,0113,29,17,113,SXF258WT.0,NS95VIP2,NS95VIP2,,22WNBPEYG6J1,,3.0,,,,,,,,,,,,,,,,2.0000,,,SXF258WT.0,,,,,16.25,,,,,,18.45,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFP_MM,,UR271682366,3,0145,35,33,145,SXF258WT.0,NS95VIP2,NS95VIP2,,22WNBPEYG6J1,,3.0,,,,,,,,,,,,,,,,3.0000,,,SXF258WT.0,,,,,17.01,,,,,,19.40,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFM_MM,,UR271682484,1,0027,12,32,27,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,2.0000,,,SXD3249ZL.0,65,,,,18.61,,,,,,22.80,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFM_MM,,UR271682417,2,0094,25,25,94,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SXD3249ZL.0,,,,,17.10,,,,,,22.10,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YFM_MM,,UR271682342,3,0169,40,16,169,SXD3249ZL.0,NS75VIP3,NS75VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SXD3249ZL.0,,,,,14.95,,,,,,16.35,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682483,1,0028,12,24,28,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SX8934ZS.0,76,,,,14.99,,,,,,21.45,,1,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682415,2,0096,26,40,96,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,3.0000,,,SX8934ZS.0,,,,,14.07,,,,,,18.55,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YF4_MM,,UR271682359,3,0152,37,9,152,SYN555 VIP3,NK555VIP3,NK555VIP3,,22WNBPEYG6J1,,,,,,,,,,,,,,,,,,4.0000,,,SX8934ZS.0,,,,,13.43,,,,,,16.30,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEK_MM,,UR271682482,1,0029,12,16,29,SZE5130,NK508,NK508,,22WNBPEYG6J1,,4.0,,,,,,,,,,,,,,,,2.0000,,,SZE5130,60,,,,18.28,,,,,,19.05,,9,,,,,,,,,10,-47.96824000,-9.79848000,,
,BRTR BT13 Ap. do Rio Negro l,22WNBPEYG6J1BT13,BT13,6J1,21ALL112YEK_MM,,UR271682425,2,0086,24,40,86,SZE5130,NK508,NK508,,22WNBPEYG6J1,,5.0,,,,,,,,,,,,,,,,3.0000,,,SZE5130,,,,,15.57,,,,,,18.00,,5,,,,,,,,,10,-47.96824000,-9.79848000,,
